feature,coef,abs_coef
property_type:Shared room in casa particular,-1.2042814522760692,1.2042814522760692
property_type:Houseboat,1.1846685445944165,1.1846685445944165
property_type:Private room in serviced apartment,-0.903274654623599,0.903274654623599
property_type:Private room in dorm,-0.7952592645830142,0.7952592645830142
property_type:Private room in resort,0.7830851437816019,0.7830851437816019
property_type:Private room in castle,-0.6417847125759056,0.6417847125759056
property_type:Boat,0.606374355950452,0.606374355950452
property_type:Entire villa,0.5699179358054485,0.5699179358054485
property_type:Private room in bed and breakfast,-0.5217905735358982,0.5217905735358982
property_type:Private room in rental unit,-0.515063195624726,0.515063195624726
property_type:Entire loft,0.4692636201351145,0.4692636201351145
property_type:Room in aparthotel,0.4571515897073992,0.4571515897073992
property_type:Private room in vacation home,-0.4321562949057215,0.4321562949057215
property_type:Private room in guesthouse,-0.4289969465145208,0.4289969465145208
property_type:Private room in earthen home,-0.424849305576129,0.424849305576129
property_type:Private room in home,-0.39806730151369424,0.39806730151369424
property_type:Private room in casa particular,-0.39160360660037885,0.39160360660037885
property_type:Shared room in condo,-0.38480720721288897,0.38480720721288897
property_type:Shared room in townhouse,0.3834865511286476,0.3834865511286476
neighbourhood_group_cleansed:Manhattan,0.3573065724811356,0.3573065724811356
property_type:Shared room in home,0.3572641386514931,0.3572641386514931
property_type:Private room in villa,-0.34958121251713503,0.34958121251713503
property_type:Entire serviced apartment,0.3480069200906242,0.3480069200906242
property_type:Entire condo,0.347063156845079,0.347063156845079
property_type:Private room in hostel,0.34336199260812106,0.34336199260812106
property_type:Private room in townhouse,-0.31898293681565026,0.31898293681565026
property_type:Private room in kezhan,0.31734421436572036,0.31734421436572036
property_type:Private room in houseboat,-0.3053363463246858,0.3053363463246858
property_type:Entire townhouse,0.2938653771137652,0.2938653771137652
has_dishes_and_silverware,-0.2815204179000335,0.2815204179000335
property_type:Shared room in guest suite,0.27983567468460147,0.27983567468460147
property_type:Shared room in serviced apartment,0.2766155603259981,0.2766155603259981
property_type:Room in boutique hotel,0.26018935829434947,0.26018935829434947
property_type:Private room in condo,-0.25839152012666955,0.25839152012666955
property_type:Entire cottage,0.22948942027229796,0.22948942027229796
property_type:Shared room in guesthouse,0.22669237262319342,0.22669237262319342
property_type:Room in hotel,0.21889087316146438,0.21889087316146438
property_type:Private room in camper/rv,-0.21391472102289483,0.21391472102289483
property_type:Private room,-0.21038761884907786,0.21038761884907786
neighbourhood_group_cleansed:Bronx,-0.20404814648825112,0.20404814648825112
property_type:Entire rental unit,0.20284088993694055,0.20284088993694055
has_hot_water,-0.19760964267182463,0.19760964267182463
property_type:Entire home,0.1879854661988188,0.1879854661988188
property_type:Entire guest suite,0.16433575418472027,0.16433575418472027
neighbourhood_group_cleansed:Staten Island,-0.16256491836347964,0.16256491836347964
property_type:Entire bungalow,0.1589024452207208,0.1589024452207208
room_type:Shared room,-0.15383932691282165,0.15383932691282165
property_type:Entire vacation home,0.14705991713014482,0.14705991713014482
has_free_parking,-0.1411848043071057,0.1411848043071057
has_wifi,-0.14103925215791224,0.14103925215791224
has_coffee_maker,0.13934078914094988,0.13934078914094988
room_type:Private room,0.1297592754111979,0.1297592754111979
property_type:Private room in bungalow,0.12645119545625078,0.12645119545625078
has_essentials,0.12626886405810048,0.12626886405810048
property_type:Room in serviced apartment,-0.12468250233986361,0.12468250233986361
property_type:Private room in guest suite,-0.11370074902721569,0.11370074902721569
property_type:Entire guesthouse,0.10930275497116024,0.10930275497116024
has_kitchen,-0.10574983066505772,0.10574983066505772
accommodates,0.10206692220209208,0.10206692220209208
bathrooms,0.10184387262147811,0.10184387262147811
has_pets_allowed,0.09290636808827749,0.09290636808827749
property_type:Shared room in rental unit,-0.08864496483789044,0.08864496483789044
has_tv,0.08392006389386775,0.08392006389386775
room_type:Hotel room,0.07108670783139898,0.07108670783139898
neighbourhood_group_cleansed:Brooklyn,0.07085393417356661,0.07085393417356661
neighbourhood_group_cleansed:Queens,-0.061547441805616776,0.061547441805616776
has_air_conditioning,0.053153686600259605,0.053153686600259605
instant_bookable:f,-0.049046890019351516,0.049046890019351516
instant_bookable:t,0.04904689001882138,0.04904689001882138
room_type:Entire home/apt,-0.04700665635997389,0.04700665635997389
property_type:Tiny home,0.045260720996127324,0.045260720996127324
has_email,-0.04423383948872672,0.04423383948872672
property_type:Private room in tiny home,-0.04395847813267182,0.04395847813267182
property_type:Entire place,0.043588001151531525,0.043588001151531525
host_is_superhost:t,-0.04269687372824503,0.04269687372824503
property_type:Private room in loft,-0.0285226250015405,0.0285226250015405
property_type:Private room in cottage,-0.02399504408810331,0.02399504408810331
property_type:Casa particular,-0.021208068700787952,0.021208068700787952
has_refrigerator,0.019834699610239592,0.019834699610239592
has_phone,0.01944833849472638,0.01944833849472638
has_heating,0.018446650891840582,0.018446650891840582
amenities_count,0.011898824139730249,0.011898824139730249
property_type:Private room in ranch,0.007125068594637129,0.007125068594637129
minimum_nights,-0.0029306353309226513,0.0029306353309226513
property_type:Camper/RV,-0.002177710686792511,0.002177710686792511
host_response_rate,0.000776863273281192,0.000776863273281192
minimum_nights_avg_ntm,0.00066006999740717,0.00066006999740717
host_acceptance_rate,0.0004095137492403124,0.0004095137492403124
maximum_nights,-1.8290141542587346e-05,1.8290141542587346e-05
maximum_nights_avg_ntm,-2.964617440426309e-11,2.964617440426309e-11
property_type:Barn,3.608224830031759e-15,3.608224830031759e-15
property_type:Shared room in loft,2.220446049250313e-16,2.220446049250313e-16
property_type:Room in bed and breakfast,5.551115123125783e-17,5.551115123125783e-17
property_type:Tower,0.0,0.0
